"begin_date","end_date","hw","units"
"1998-10-12","1998-10-18","PS",20918
"1998-10-12","1998-10-18","GB",10867
"1998-10-12","1998-10-18","N64",2965
"1998-10-12","1998-10-18","SS",858
"1998-10-19","1998-10-25","GBC",155774
"1998-10-19","1998-10-25","PS",21151
"1998-10-19","1998-10-25","GB",7243
"1998-10-19","1998-10-25","N64",3813
"1998-10-19","1998-10-25","SS",1061
"1998-10-26","1998-11-01","GBC",67328
"1998-10-26","1998-11-01","NGP",21471
"1998-10-26","1998-11-01","PS",20128
"1998-10-26","1998-11-01","GB",4351
"1998-10-26","1998-11-01","N64",3787
"1998-10-26","1998-11-01","SS",1027
"1998-11-02","1998-11-08","GBC",49839
"1998-11-02","1998-11-08","PS",27171
"1998-11-02","1998-11-08","N64",4962
"1998-11-02","1998-11-08","NGP",4688
"1998-11-02","1998-11-08","GB",2747
"1998-11-02","1998-11-08","SS",824
"1998-11-09","1998-11-15","GBC",30949
"1998-11-09","1998-11-15","PS",23575
"1998-11-09","1998-11-15","GB",6778
"1998-11-09","1998-11-15","N64",4972
"1998-11-09","1998-11-15","NGP",3165
"1998-11-09","1998-11-15","SS",1144
"1998-11-16","1998-11-22","GBC",46576
"1998-11-16","1998-11-22","N64",35419
"1998-11-16","1998-11-22","PS",17374
"1998-11-16","1998-11-22","GB",12289
"1998-11-16","1998-11-22","NGP",1717
"1998-11-16","1998-11-22","SS",528
"1998-11-23","1998-11-29","DC",101490
"1998-11-23","1998-11-29","GBC",51391
"1998-11-23","1998-11-29","N64",29835
"1998-11-23","1998-11-29","PS",27060
"1998-11-23","1998-11-29","GB",15833
"1998-11-23","1998-11-29","NGP",1922
"1998-11-30","1998-12-06","GBC",47028
"1998-11-30","1998-12-06","DC",31576
"1998-11-30","1998-12-06","PS",31103
"1998-11-30","1998-12-06","N64",23859
"1998-11-30","1998-12-06","GB",11699
"1998-11-30","1998-12-06","NGP",1645
"1998-12-07","1998-12-13","GBC",84883
"1998-12-07","1998-12-13","PS",81548
"1998-12-07","1998-12-13","N64",74002
"1998-12-07","1998-12-13","GB",32018
"1998-12-07","1998-12-13","DC",27995
"1998-12-07","1998-12-13","NGP",2107
"1998-12-14","1998-12-20","GBC",168269
"1998-12-14","1998-12-20","N64",115411
"1998-12-14","1998-12-20","PS",82128
"1998-12-14","1998-12-20","GB",46630
"1998-12-14","1998-12-20","DC",42024
"1998-12-14","1998-12-20","NGP",1787
"1998-12-21","1999-01-03","GBC",306276
"1998-12-21","1999-01-03","PS",276371
"1998-12-21","1999-01-03","N64",193044
"1998-12-21","1999-01-03","DC",134020
"1998-12-21","1999-01-03","GB",106468
"1998-12-21","1999-01-03","NGP",4272
"1999-01-04","1999-01-10","GBC",96581
"1999-01-04","1999-01-10","PS",74563
"1999-01-04","1999-01-10","N64",40364
"1999-01-04","1999-01-10","GB",39556
"1999-01-04","1999-01-10","DC",28830
"1999-01-04","1999-01-10","NGP",2131
"1999-01-11","1999-01-17","GBC",51048
"1999-01-11","1999-01-17","PS",45083
"1999-01-11","1999-01-17","DC",27439
"1999-01-11","1999-01-17","N64",17914
"1999-01-11","1999-01-17","GB",13880
"1999-01-11","1999-01-17","NGP",2014
"1999-01-18","1999-01-24","ps",64340
"1999-01-18","1999-01-24","PS",45308
"1999-01-18","1999-01-24","GBC",45195
"1999-01-18","1999-01-24","DC",22788
"1999-01-18","1999-01-24","N64",14547
"1999-01-18","1999-01-24","GB",13632
"1999-01-18","1999-01-24","NGP",1275
"1999-01-25","1999-01-31","PS",56471
"1999-01-25","1999-01-31","DC",37249
"1999-01-25","1999-01-31","GBC",34534
"1999-01-25","1999-01-31","ps",21776
"1999-01-25","1999-01-31","N64",15189
