"号","ハード売上","ソフトTOP1","クロレビ高得点","その他"
"901","PS2 25295|GC 1508|XB360 1082|GBASP 7334|GBM 4079|PSP 35865|DS 39373","『戦国無双2』|PS2、コーエー、2006/2/24、7140円、301044本（初）|（2006/2/20〜2/26）","『ファイナルファンタジーXII』|PS2、スクウェア・エニックス、40点(10/10/10/10)","●―"
"902","PS2 25722|GC 1632|XB360 1020|GBASP 5652|GBM 3548|PSP 45008|DS 61391|DSL 67653","『機動戦士ガンダム　クライマックスU.C.』|PS2、バンダイ、2006/3/2、7140円、158560本（初）|（2006/2/27〜3/5）","『エースコンバット・ゼロ　ザ・ベルカン・ウォー』|PS2、ナムコ、35点(9/9/8/9)|『ユグドラ・ユニオン』|GBA、スティング、35点（9/10/8/8）","●ニンテンドーDS Lite発売"
"903","PS2 22820|GC 1311|XB360 1035|GBASP 4622|GBM 3796|PSP 38607|DS 50860|DSL 88958","『おいでよどうぶつの森』|DS、任天堂、2005/11/23、4800円、93508本（2157232）|（2006/3/6〜3/12）","『Another Century's Episode2』|PS2、バンプレスト、33点(8/8/9/8)","●―"
"904","PS2 58502|GC 1353|XB360 1181|GBASP 4725|GBM 3943|PSP 30766|DS 36051|DSL 99740","『ファイナルファンタジーXII』|PS2、スクウェア・エニックス、2006/3/16、8990円、1840397本（初）|（2006/3/13〜3/19）","『プロ野球スピリッツ3』|XB360、コナミ、36点(10/8/9/9)","●―"
"905","PS2 42881|GC 1539|XB360 1550|GBASP 8922|GBM 3372|PSP 38321|DS 33713|DSL 127911","『ファイナルファンタジーXII』|PS2、スクウェア・エニックス、2006/3/16、8990円、217438本（2057835）|（2006/3/20〜3/26）","『伝説のスタフィー4』|DS、任天堂、33点(9/8/8/8)","●『FF12』の攻略記事、ファミ通史上初100ページ"
"906","PS2 36574|GC 1592|XB360 2636|GBASP 8394|GBM 3194|PSP 36713|DS 61500|DSL 148295","『プロサッカークラブをつくろう！ヨーロッパチャンピオンシップ』|PS2、セガ、2006/3/29、7140円、153906本（初）|（2006/3/27〜4/2）","『大神』|PS2、カプコン、39点(10/10/10/9)","●―"
"907","PS2 31189|GC 1266|XB360 1752|GBASP 7817|GBM 3192|PSP 31723|DS 44109|DSL 174102","『東北大学未来科学技術共同センター川島隆太教授監修もっと脳を鍛える大人のDSトレーニング』|DS、任天堂、2005/12/29、2800円、87278本（1883251）|（2006/4/3〜4/9）","『ワールドサッカーウイニングイレブン10』|PS2、コナミデジタルエンタテインメント、36点(9/9/9/9)","●―"
"909|※","PS2 30005|GC 1113|XB360 1780|GBASP 8926|GBM 2962|PSP 29586|DS 36041|DSL 160340","『東北大学未来科学技術共同センター川島隆太教授監修もっと脳を鍛える大人のDSトレーニング』|DS、任天堂、2005/12/29、2800円、73993本（1957244）|（2006/4/10〜4/16）","『エウレカエブン　NEW VISION』|PS2、バンダイナムコゲームス、28点(7/7/7/7)","●―"
"910","PS2 24827|GC 1087|XB360 2852|GBASP 10589|GBM 12590|PSP 31781|DS 11438|DSL 186334","『MOTHER3』|GBA、任天堂、2006/4/20、4800円、194851本（初）|（2006/4/17〜4/23）","『実況パワフルメジャーリーグ』|PS2、コナミデジタルエンタテインメント、34点(9/9/8/8)|『実況パワフルメジャーリーグ』|GC、コナミデジタルエンタテインメント、34点(9/9/8/8)","●―"
"911","PS2 62870|GC 3175|XB360 4763|GBASP 18889|GBM 9932|PSP 86102|DS 56170|DSL 401452|（2週分）","『ワールドサッカーウイニングイレブン10』|PS2、コナミデジタルエンタテインメント、2006/4/27、7329円、615521本（初）|（2006/4/24〜5/7）","『Newスーパーマリオブラザーズ』|DS、任天堂、36点(9/9/9/9)","●PS2『キミキス』のクロレビは31点（8/8/7/8）"
