"id","report_date","period_date","hw","units"
"1998-10-18_PS","1998-10-18",7,"PS",20918
"1998-10-18_GB","1998-10-18",7,"GB",10867
"1998-10-18_N64","1998-10-18",7,"N64",2965
"1998-10-18_SATURN","1998-10-18",7,"SATURN",858
"1998-10-25_GB","1998-10-25",7,"GB",163017
"1998-10-25_PS","1998-10-25",7,"PS",21151
"1998-10-25_N64","1998-10-25",7,"N64",3813
"1998-10-25_SATURN","1998-10-25",7,"SATURN",1061
"1998-11-01_GB","1998-11-01",7,"GB",71679
"1998-11-01_NeoGeoP","1998-11-01",7,"NeoGeoP",21471
"1998-11-01_PS","1998-11-01",7,"PS",20128
"1998-11-01_N64","1998-11-01",7,"N64",3787
"1998-11-01_SATURN","1998-11-01",7,"SATURN",1027
"1998-11-08_GB","1998-11-08",7,"GB",52586
"1998-11-08_PS","1998-11-08",7,"PS",27171
"1998-11-08_N64","1998-11-08",7,"N64",4962
"1998-11-08_NeoGeoP","1998-11-08",7,"NeoGeoP",4688
"1998-11-08_SATURN","1998-11-08",7,"SATURN",824
"1998-11-15_GB","1998-11-15",7,"GB",37727
"1998-11-15_PS","1998-11-15",7,"PS",23575
"1998-11-15_N64","1998-11-15",7,"N64",4972
"1998-11-15_NeoGeoP","1998-11-15",7,"NeoGeoP",3165
"1998-11-15_SATURN","1998-11-15",7,"SATURN",1144
"1998-11-22_GB","1998-11-22",7,"GB",58865
"1998-11-22_N64","1998-11-22",7,"N64",35419
"1998-11-22_PS","1998-11-22",7,"PS",17374
"1998-11-22_NeoGeoP","1998-11-22",7,"NeoGeoP",1717
"1998-11-22_SATURN","1998-11-22",7,"SATURN",528
"1998-11-29_DC","1998-11-29",7,"DC",101490
"1998-11-29_GB","1998-11-29",7,"GB",67224
"1998-11-29_N64","1998-11-29",7,"N64",29835
"1998-11-29_PS","1998-11-29",7,"PS",27060
"1998-11-29_NeoGeoP","1998-11-29",7,"NeoGeoP",1922
"1998-12-06_GB","1998-12-06",7,"GB",58727
"1998-12-06_DC","1998-12-06",7,"DC",31576
"1998-12-06_PS","1998-12-06",7,"PS",31103
"1998-12-06_N64","1998-12-06",7,"N64",23859
"1998-12-06_NeoGeoP","1998-12-06",7,"NeoGeoP",1645
"1998-12-13_GB","1998-12-13",7,"GB",116901
"1998-12-13_PS","1998-12-13",7,"PS",81548
"1998-12-13_N64","1998-12-13",7,"N64",74002
"1998-12-13_DC","1998-12-13",7,"DC",27995
"1998-12-13_NeoGeoP","1998-12-13",7,"NeoGeoP",2107
"1998-12-20_GB","1998-12-20",7,"GB",214899
"1998-12-20_N64","1998-12-20",7,"N64",115411
"1998-12-20_PS","1998-12-20",7,"PS",82128
"1998-12-20_DC","1998-12-20",7,"DC",42024
"1998-12-20_NeoGeoP","1998-12-20",7,"NeoGeoP",1787
"1999-01-03_GB","1999-01-03",14,"GB",412744
"1999-01-03_PS","1999-01-03",14,"PS",276371
"1999-01-03_N64","1999-01-03",14,"N64",193044
"1999-01-03_DC","1999-01-03",14,"DC",134020
"1999-01-03_NeoGeoP","1999-01-03",14,"NeoGeoP",4272
"1999-01-10_GB","1999-01-10",7,"GB",136137
"1999-01-10_PS","1999-01-10",7,"PS",74563
"1999-01-10_N64","1999-01-10",7,"N64",40364
"1999-01-10_DC","1999-01-10",7,"DC",28830
"1999-01-10_NeoGeoP","1999-01-10",7,"NeoGeoP",2131
"1999-01-17_GB","1999-01-17",7,"GB",64928
"1999-01-17_PS","1999-01-17",7,"PS",45083
