"begin_date","end_date","ニンテンドー3DS","プレイステーションVita","WiiU","プレイステーション4","XboxOne"
"2015-12-28","2016-01-03",122844,78611,55798,70596,379
"2016-01-04","2016-01-10",51144,32457,25995,38286,145
"2016-01-11","2016-01-17",31352,19812,14533,26658,136
"2016-01-18","2016-01-24",29966,15462,9086,24825,115
"2016-01-25","2016-01-31",24897,43530,7369,32819,112
"2016-02-01","2016-02-07",19755,24779,3351,32181,367
"2016-02-08","2016-02-14",21143,17474,3155,25015,126
"2016-02-15","2016-02-21",18616,22175,4186,27130,93
"2016-02-22","2016-02-28",20012,18643,4013,25541,73
"2016-02-29","2016-03-06",21259,29269,5991,27318,205
"2016-03-07","2016-03-13",20522,19762,3836,27638,131
"2016-03-14","2016-03-20",20349,19580,9644,27354,75
"2016-03-21","2016-03-27",25311,20383,5034,35565,110
"2016-03-28","2016-04-03",25520,17741,2678,33440,87
"2016-04-04","2016-04-10",21221,12860,5229,23095,144
"2016-04-11","2016-04-17",18333,11782,5634,20652,153
"2016-04-18","2016-04-24",15086,11233,7195,20070,82
"2016-04-25","2016-05-01",22395,17661,10116,27903,90
"2016-05-02","2016-05-08",23607,16822,7961,24786,76
"2016-05-09","2016-05-15",14434,10855,3296,22109,138
"2016-05-16","2016-05-22",13264,10082,3659,18291,60
"2016-05-23","2016-05-29",13736,14605,3872,24201,65
"2016-05-30","2016-06-05",13139,13050,4207,22182,52
"2016-06-06","2016-06-12",21621,11574,3505,18722,46
"2016-06-13","2016-06-19",18365,11415,4430,18997,40
"2016-06-20","2016-06-26",20016,11391,4442,21475,72
"2016-06-27","2016-07-03",18853,11258,5363,24757,63
"2016-07-04","2016-07-10",18446,10950,14904,21474,75
"2016-07-11","2016-07-17",24009,11610,7605,21017,82
"2016-07-18","2016-07-24",23539,10676,5899,17857,55
"2016-07-25","2016-07-31",25259,11340,6048,21030,39
"2016-08-01","2016-08-07",27551,10015,5170,16383,43
"2016-08-08","2016-08-14",31695,12407,5770,17482,38
"2016-08-15","2016-08-21",26735,11086,5623,19053,40
"2016-08-22","2016-08-28",20788,9458,4157,6760,31
"2016-08-29","2016-09-04",20813,10021,4072,2302,126
"2016-09-05","2016-09-11",19783,9397,3267,364,154
"2016-09-12","2016-09-18",36737,9083,2824,96567,157
"2016-09-19","2016-09-25",34877,8525,2681,48443,162
"2016-09-26","2016-10-02",27198,8151,2071,38063,160
"2016-10-03","2016-10-09",34119,7976,2561,32525,102
"2016-10-10","2016-10-16",30315,7881,2558,29447,899
"2016-10-17","2016-10-23",26015,7514,2130,26719,215
"2016-10-24","2016-10-30",25763,9879,2172,32169,130
"2016-10-31","2016-11-06",28902,9012,2293,32484,210
"2016-11-07","2016-11-13",29981,8637,2467,93512,125
"2016-11-14","2016-11-20",113987,7985,2973,37383,85
"2016-11-21","2016-11-27",68887,10584,3414,40636,1020
"2016-11-28","2016-12-04",62267,14853,4713,116593,315
"2016-12-05","2016-12-11",82663,17996,4240,98684,363
"2016-12-12","2016-12-18",117793,26955,4544,75061,279
"2016-12-19","2016-12-25",229575,58745,8417,107269,757
