"begin_date","end_date","ニンテンドー3DS","プレイステーションVita","NINTENDOSWITCH","プレイステーション4","XboxOne"
"2018-01-01","2018-01-07",64986,13119,159636,103607,273
"2018-01-08","2018-01-14",21014,4146,31189,41188,129
"2018-01-15","2018-01-21",14620,4007,38749,44910,440
"2018-01-22","2018-01-28",12572,3367,39473,140432,1603
"2018-01-29","2018-02-04",12551,4228,46517,109286,1086
"2018-02-05","2018-02-11",13066,4177,43522,70172,368
"2018-02-12","2018-02-18",13075,5274,40655,48391,267
"2018-02-19","2018-02-25",12621,5666,41294,36193,428
"2018-02-26","2018-03-04",12513,5890,43801,26843,185
"2018-03-05","2018-03-11",12255,6636,45746,27323,193
"2018-03-12","2018-03-18",11100,4563,47841,19845,142
"2018-03-19","2018-03-25",13011,4494,51563,19175,155
"2018-03-26","2018-04-01",11951,4553,41402,21569,267
"2018-04-02","2018-04-08",10570,3471,36341,13018,125
"2018-04-09","2018-04-15",8909,3113,32427,11837,145
"2018-04-16","2018-04-22",8010,3220,32476,11807,156
"2018-04-23","2018-04-29",8378,5048,35498,24330,236
"2018-04-30","2018-05-06",13322,7977,54534,37356,219
"2018-05-07","2018-05-13",6703,2804,27907,16905,180
"2018-05-14","2018-05-20",6774,2698,30341,15559,184
"2018-05-21","2018-05-27",6588,2721,31673,16361,182
"2018-05-28","2018-06-03",7252,2742,36271,17396,149
"2018-06-04","2018-06-10",7285,3921,36449,26978,103
"2018-06-11","2018-06-17",7321,2983,44824,22570,826
"2018-06-18","2018-06-24",7052,2410,46750,21368,441
"2018-06-25","2018-07-01",7653,2794,50678,19639,220
"2018-07-02","2018-07-08",7522,2788,43648,19041,183
"2018-07-09","2018-07-15",7499,3594,47317,17747,115
"2018-07-16","2018-07-22",10552,3796,53644,18033,385
"2018-07-23","2018-07-29",8413,2653,47446,17572,335
"2018-07-30","2018-08-05",11361,2916,48975,17254,113
"2018-08-06","2018-08-12",10566,2602,50549,19754,125
"2018-08-13","2018-08-19",11232,2982,53536,26811,136
"2018-08-20","2018-08-26",7810,2370,46413,22242,154
"2018-08-27","2018-09-02",7715,2325,41125,17564,144
"2018-09-03","2018-09-09",6888,2327,46206,18974,61
"2018-09-10","2018-09-16",6338,1970,36153,20849,275
"2018-09-17","2018-09-23",6788,2619,36751,17299,125
"2018-09-24","2018-09-30",6651,2760,43197,20520,114
"2018-10-01","2018-10-07",6376,2823,46590,13548,461
"2018-10-08","2018-10-14",6430,2535,44572,25482,310
"2018-10-15","2018-10-21",5373,2803,43863,19867,140
"2018-10-22","2018-10-28",5497,2004,38448,19321,171
"2018-10-29","2018-11-04",5699,1838,40344,17783,223
"2018-11-05","2018-11-11",6041,1668,53385,16216,473
"2018-11-12","2018-11-18",6056,1818,180585,15890,202
"2018-11-19","2018-11-25",8302,1819,113341,29283,684
"2018-11-26","2018-12-02",8804,1730,107450,18801,194
"2018-12-03","2018-12-09",12487,2130,278313,67911,358
"2018-12-10","2018-12-16",17525,2583,285513,82546,489
"2018-12-17","2018-12-23",25568,3595,300661,75178,305
"2018-12-24","2018-12-30",11775,2658,186806,75683,362
