"begin_date","end_date","ニンテンドー3DS","NINTENDOSWITCH","プレイステーション4","プレイステーション5","XboxSeriesX/S"
"2022-12-26","2023-01-09",419,250718,4128,85156,1739
"2023-01-09","2023-01-16",93,74690,1099,44113,1052
"2023-01-16","2023-01-23",83,51587,2544,42152,945
"2023-01-23","2023-01-30",74,51108,1061,62908,1265
"2023-01-30","2023-02-06",70,55736,953,93026,14644
"2023-02-06","2023-02-13",91,55025,1115,93574,3935
"2023-02-13","2023-02-20",79,48896,1581,88653,6600
"2023-02-20","2023-02-27",72,61384,1646,91729,727
"2023-02-27","2023-03-06",66,66525,1655,78412,848
"2023-03-06","2023-03-13",97,59901,1602,64869,2887
"2023-03-13","2023-03-20",138,49585,1115,40411,555
"2023-03-20","2023-03-27",84,54653,1531,38964,583
