"begin_date","end_date","NINTENDOSWITCH","NINTENDOSWITCH2","PS4","PS5","XboxSeriesX/S"
"2024-12-30","2025-01-05",109729,"",35,46680,1113
"2025-01-06","2025-01-12",57831,"",31,11828,876
"2025-01-13","2025-01-19",47560,"",29,10738,785
"2025-01-20","2025-01-26",45327,"",31,12341,1087
"2025-01-27","2025-02-02",44341,"",19,12873,3070
"2025-02-03","2025-02-09",43672,"",21,14408,2320
"2025-02-10","2025-02-16",40003,"",23,16049,2826
"2025-02-17","2025-02-23",39172,"",22,13556,1535
"2025-02-24","2025-03-02",45189,"",20,108978,721
"2025-03-03","2025-03-09",37841,"",22,52520,559
"2025-03-10","2025-03-16",27898,"",19,27863,333
"2025-03-17","2025-03-23",30504,"",18,15212,252
"2025-03-24","2025-03-30",30489,"",33,13727,216
"2025-03-31","2025-04-06",35041,"",21,12518,148
"2025-04-07","2025-04-13",25035,"",17,8866,196
"2025-04-14","2025-04-20",25408,"",19,7497,101
"2025-04-21","2025-05-04",56058,"",50,20204,2530
"2025-05-05","2025-05-11",29710,"",31,8615,450
"2025-05-12","2025-05-18",24478,"",27,6546,1382
"2025-05-19","2025-05-25",24289,"",25,6738,370
"2025-05-26","2025-06-01",20075,"",27,15266,262
"2025-06-02","2025-06-08",16611,947931,24,20782,333
"2025-06-09","2025-06-15",13319,153205,22,14129,261
"2025-06-16","2025-06-22",12769,140026,28,6006,191
"2025-06-23","2025-06-29",15323,161021,23,7333,353
"2025-06-30","2025-07-06",17712,128643,21,8629,529
"2025-07-07","2025-07-13",13411,71885,30,7262,247
