"begin_date","end_date","hw","units"
"2015-12-28","2016-01-04","3DS","122844"
"2015-12-28","2016-01-04","Vita","78611"
"2015-12-28","2016-01-04","WiiU","55798"
"2015-12-28","2016-01-04","PS4","70596"
"2015-12-28","2016-01-04","XBOne","379"
"2016-01-04","2016-01-11","3DS","51144"
"2016-01-04","2016-01-11","Vita","32457"
"2016-01-04","2016-01-11","WiiU","25995"
"2016-01-04","2016-01-11","PS4","38286"
"2016-01-04","2016-01-11","XBOne","145"
"2016-01-11","2016-01-18","3DS","31352"
"2016-01-11","2016-01-18","Vita","19812"
"2016-01-11","2016-01-18","WiiU","14533"
"2016-01-11","2016-01-18","PS4","26658"
"2016-01-11","2016-01-18","XBOne","136"
"2016-01-18","2016-01-25","3DS","29966"
"2016-01-18","2016-01-25","Vita","15462"
"2016-01-18","2016-01-25","WiiU","9086"
"2016-01-18","2016-01-25","PS4","24825"
"2016-01-18","2016-01-25","XBOne","115"
"2016-01-25","2016-02-01","3DS","24897"
"2016-01-25","2016-02-01","Vita","43530"
"2016-01-25","2016-02-01","WiiU","7369"
"2016-01-25","2016-02-01","PS4","32819"
"2016-01-25","2016-02-01","XBOne","112"
"2016-02-01","2016-02-08","3DS","19755"
"2016-02-01","2016-02-08","Vita","24779"
"2016-02-01","2016-02-08","WiiU","3351"
"2016-02-01","2016-02-08","PS4","32181"
"2016-02-01","2016-02-08","XBOne","367"
"2016-02-08","2016-02-15","3DS","21143"
"2016-02-08","2016-02-15","Vita","17474"
"2016-02-08","2016-02-15","WiiU","3155"
"2016-02-08","2016-02-15","PS4","25015"
"2016-02-08","2016-02-15","XBOne","126"
"2016-02-15","2016-02-22","3DS","18616"
"2016-02-15","2016-02-22","Vita","22175"
"2016-02-15","2016-02-22","WiiU","4186"
"2016-02-15","2016-02-22","PS4","27130"
"2016-02-15","2016-02-22","XBOne","93"
"2016-02-22","2016-02-29","3DS","20012"
"2016-02-22","2016-02-29","Vita","18643"
"2016-02-22","2016-02-29","WiiU","4013"
"2016-02-22","2016-02-29","PS4","25541"
"2016-02-22","2016-02-29","XBOne","73"
"2016-02-29","2016-03-07","3DS","21259"
"2016-02-29","2016-03-07","Vita","29269"
"2016-02-29","2016-03-07","WiiU","5991"
"2016-02-29","2016-03-07","PS4","27318"
"2016-02-29","2016-03-07","XBOne","205"
