date,hw,note,level,desc
1999-02-11,PS,FF8,5,
1999-11-21,GB,ポケモン金銀,5,
1999-12-11,PS,GT2,7,
1999-12-29,DC,シェンムー,6,
2000-07-07,PS,FF9,7,
2000-08-26,PS,DQ7,7,
2001-01-31,DC,撤退発表,5,
2001-04-28,PS2,GT3,8,
2001-07-19,PS2,FFX,2,
2001-09-06,DC,シェンムー2,14,
2001-12-31,DC,販売終了,4,
2002-04-25,PS2,ウイイレ6,7,
2002-07-19,GC,マリオサンシャイン,20,
2002-11-21,GBA,ポケモンRS,3,
2003-03-13,PS2,FFX-2,7,
2003-12-13,PS2,PSX発売,15,
2004-11-27,PS2,DQ8,9,
2004-12-02,GBA,DS発売,5,
2004-12-16,PS2,MGS3,18,
2005-05-19,DS,脳トレ,8,
2005-06-20,DS,やわらかあたま塾,11,
2005-11-23,DS,どう森,10,
2005-12-08,DS,マリカDS,20,
2007-02-22,PSP,MH2nd,4,
2007-09-20,PSP,PSP-2000,11,
2007-10-17,PS3,値下げ,10,
2008-03-27,PSP,MH2ndG,8,
2008-09-13,DS,ポケモンプラチナ,3,
2008-10-02,DS,DSi発表,16,
2008-11-01,DS,DSi発売,10,
2008-11-20,Wii,どう森Wii,6,
2009-07-11,DS,DQ9,8,
2009-09-03,PS3,PS3 Slim,10,
2009-11-21,DS,DSiLL発売,10,
2009-12-17,PS3,FF13,12,
2010-06-15,DS,3DS発表,12,
2010-10-21,PS3,PSMove発売,18,
2010-10-26,PSP,PSPgo値下げ,15,
2010-12-01,PSP,MH3rd,6,
2011-02-26,DS,3DS発売日,3,
2011-07-28,3DS,3DS値下げ発表,13,
2011-08-11,3DS,3DS新価格,4,
2011-09-13,3DS,MH4発表,13,
2011-12-10,3DS,MH3G,8,
2012-12-08,Vita,PSO2,22,
2012-07-28,3DS,3DSLL,10,
2012-09-13,Wii,WiiU発表,13,
2012-11-08,3DS,とび森,6,
2013-02-28,Vita,値下げ,15,
2013-03-07,Vita,ソウル・サクリファイス,42,
2013-04-18,3DS,トモコレ新生活,18,
2013-09-14,3DS,MH4,2,
2013-07-11,3DS,妖怪ウォッチ,8,
2013-10-10,Vita,PCH-2000,15,
2013-10-12,3DS,ポケモンXY,9,
2013-11-14,Vita,VitaTV,13,
2014-02-22,PS3,PS4発売,2,
2014-06-26,Vita,フリーダムウォーズ,40,
2014-08-29,3DS,New3DS発表,18,
2014-09-13,3DS,スマブラfor3DS,9,
2014-10-11,3DS,New3DS/LL,1,
2014-10-11,3DS,MH4G,4,
2014-12-07,WiiU,スマブラforWiiU,19,
2015-03-17,3DS,NX発表,2,
2015-07-11,3DS,岩田社長逝去,1,
2015-07-28,3DS,DQ11 NX対応発表,40,
2015-10-01,Vita,価格改定,10,
2016-07-22,3DS,ポケモンGO,30,
2016-09-07,PS4,PS4Slim,10,
2016-10-13,PS4,PSVR,17,
2016-10-20,3DS,NX映像公開,18,
2016-11-10,PS4,PS4Pro,10,
2016-11-18,3DS,ポケモンSM,9,
2016-11-29,PS4,FF15,15,
2017-01-13,3DS,Switchプレゼンテーション,10,
2017-03-03,NSW,ゼルダBotW,4,
2017-04-28,NSW,マリカ8DX,3,
2017-07-13,3DS,New2DSLL,10,
2017-07-21,NSW,スプラ2,10,
2017-07-29,PS4,DQ11,20,
2017-10-27,NSW,マリオデ,11,
2018-01-26,PS4,MHW,10,
2018-10-12,NSW,マリパ,23,
2018-12-06,PS4,大バンバンセール,18,
2018-12-07,NSW,スマブラSP,10,
2019-03-01,Vita,出荷完了,17,
2019-09-20,NSW,Switch Lite,9,
2019-11-15,NSW,ポケモン剣盾,8,
2019-12-19,PS4,数量限定セール,28,
2020-03-20,NSW,あつ森,15,
2020-06-11,PS4,PS5デザイン発表,28,
2020-09-16,PS4,PS5発売日発表,22,
2020-09-16,3DS,生産終了,12,
2020-11-12,PS4,PS5発売,3,
2020-11-12,PS5,PS5発売,5,
2021-08-01,PS5,CFI1100,15,
2021-10-08,NSW,有機ELモデル,8,
2022-09-09,NSW,スプラ3,25,
2022-09-15,PS5,値上げ,9,
2022-10-01,PS5,CFI1200,15,
2022-11-18,NSW,ポケモンSV,8,
2023-02-22,PS5,PSVR2,18,
2023-05-12,NSW,ゼルダToTK,9,
2023-06-22,PS5,FF16,18,
2023-07-21,NSW,ピクミン4,35,
2023-08-01,PS5,値上げ,10,
2023-10-20,NSW,マリオワンダー,18,
2023-11-10,PS5,PS5 Slim発売,10,
2024-02-29,PS5,FF7R2,18,
2024-08-27,PS5,値上げ,10,
2024-09-11,PS5,PS5Pro発表,32,
2024-09-26,PS5,サインイン・キャンペーン,22,
2024-10-17,NSW,マリパジャンボリー,35,
2024-11-07,PS5,PS5Pro発売,12,
2024-12-19,PS5,年末年始セール,21,
2025-01-16,NSW,Switch2初公開,20,
2025-02-28,PS5,MHWs,12,
2025-03-27,NSW,Nintendo Direct,21,
2025-04-02,NSW,Switch2 Direct,22,
2025-05-28,PS5,Days of Play,32,
2025-06-05,NSW,Switch2発売,15,
2025-06-05,NS2,Switch2発売,1,
