id,event_date,hw,hw2,event_name,priority
1,2024-08-27,PS5,,PS5値上げ,1
2,2025-01-16,NSW,,Switch2初公開,2
3,2025-02-28,PS5,,MHWs,1
4,2025-03-27,NSW,,Nintendo Direct,3
5,2025-04-02,NSW,,Switch2 Direct,1
6,2025-05-28,PS5,,Days of Play2025,2
7,2025-06-05,NSW,,Switch2発売,1
8,2025-07-17,NS2,,DKバナンザ,2
9,2025-10-16,NS2,,ポケモンZA,1
10,2025-11-20,NS2,,エアライダー,2
11,2024-11-07,PS5,,PS5Pro,1
12,2021-10-08,NSW,,SwitchOLED,1
13,2019-09-20,NSW,,SwitchLite,1
14,2023-11-10,PS5,,PS5Slim,1
15,2024-09-11,PS5,,PS5Pro発表,3
16,2016-09-07,PS4,,PS4Slim,1
17,2016-11-10,PS4,,PS4Pro,1
18,2023-05-12,NSW,,ToTK,2
19,2023-10-20,NSW,,マリオワンダー,3
20,2023-06-22,PS5,,FF16,1
21,2016-11-29,PS4,,FF15,1
22,2017-07-29,PS4,,DQ11,2
23,2018-01-26,PS4,,MHW,1
24,2017-07-21,NSW,,スプラ2,2
25,2022-09-09,NSW,,スプラ3,2
26,2017-10-27,NSW,,マリオデ,1
27,2018-12-06,PS4,,PS4大バンバン,1
28,2019-12-19,PS4,,PS4数量限定セール,2
29,2024-09-26,PS5,,PS5サイインインキャンペーン,2
30,2024-12-19,PS5,,PS5年末年始セール,2
31,2025-02-28,PS5,,PS5新生活セール,2
32,2025-09-04,PS5,,PS5オータムキャンペーン,2
33,2025-09-13,PS5,,PS5DE容量削減,1
34,2021-08-01,PS5,,PS5 CFI1100,3
35,2022-10-01,PS5,,PS5 CFI1200,3
36,2023-08-01,PS5,,PS5値上げ,1
37,2020-03-20,NSW,,あつ森,2
