"begin_date","end_date","hw","units"
"1998-10-12","1998-10-18","PS",20918
"1998-10-12","1998-10-18","GB",10867
"1998-10-12","1998-10-18","N64",2965
"1998-10-12","1998-10-18","SATURN",858
"1998-10-19","1998-10-25","GB",163017
"1998-10-19","1998-10-25","PS",21151
"1998-10-19","1998-10-25","N64",3813
"1998-10-19","1998-10-25","SATURN",1061
"1998-10-26","1998-11-01","GB",71679
"1998-10-26","1998-11-01","NeoGeoP",21471
"1998-10-26","1998-11-01","PS",20128
"1998-10-26","1998-11-01","N64",3787
"1998-10-26","1998-11-01","SATURN",1027
"1998-11-02","1998-11-08","GB",52586
"1998-11-02","1998-11-08","PS",27171
"1998-11-02","1998-11-08","N64",4962
"1998-11-02","1998-11-08","NeoGeoP",4688
"1998-11-02","1998-11-08","SATURN",824
"1998-11-09","1998-11-15","GB",37727
"1998-11-09","1998-11-15","PS",23575
"1998-11-09","1998-11-15","N64",4972
"1998-11-09","1998-11-15","NeoGeoP",3165
"1998-11-09","1998-11-15","SATURN",1144
"1998-11-16","1998-11-22","GB",58865
"1998-11-16","1998-11-22","N64",35419
"1998-11-16","1998-11-22","PS",17374
"1998-11-16","1998-11-22","NeoGeoP",1717
"1998-11-16","1998-11-22","SATURN",528
"1998-11-23","1998-11-29","DC",101490
"1998-11-23","1998-11-29","GB",67224
"1998-11-23","1998-11-29","N64",29835
"1998-11-23","1998-11-29","PS",27060
"1998-11-23","1998-11-29","NeoGeoP",1922
"1998-11-30","1998-12-06","GB",58727
"1998-11-30","1998-12-06","DC",31576
"1998-11-30","1998-12-06","PS",31103
"1998-11-30","1998-12-06","N64",23859
"1998-11-30","1998-12-06","NeoGeoP",1645
"1998-12-07","1998-12-13","GB",116901
"1998-12-07","1998-12-13","PS",81548
"1998-12-07","1998-12-13","N64",74002
"1998-12-07","1998-12-13","DC",27995
"1998-12-07","1998-12-13","NeoGeoP",2107
"1998-12-14","1998-12-20","GB",214899
"1998-12-14","1998-12-20","N64",115411
"1998-12-14","1998-12-20","PS",82128
"1998-12-14","1998-12-20","DC",42024
"1998-12-14","1998-12-20","NeoGeoP",1787
"1998-12-21","1998-12-27","GB",206372
"1998-12-21","1998-12-27","PS",138185
"1998-12-21","1998-12-27","N64",96522
"1998-12-21","1998-12-27","DC",67010
"1998-12-21","1998-12-27","NeoGeoP",2136
"1998-12-28","1999-01-03","GB",206372
"1998-12-28","1999-01-03","PS",138185
"1998-12-28","1999-01-03","N64",96522
"1998-12-28","1999-01-03","DC",67010
"1998-12-28","1999-01-03","NeoGeoP",2136
"1999-01-04","1999-01-10","GB",136137
"1999-01-04","1999-01-10","PS",74563
"1999-01-04","1999-01-10","N64",40364
"1999-01-04","1999-01-10","DC",28830
"1999-01-04","1999-01-10","NeoGeoP",2131
"1999-01-11","1999-01-17","GB",64928
"1999-01-11","1999-01-17","PS",45083
"1999-01-11","1999-01-17","DC",27439
"1999-01-11","1999-01-17","N64",17914
"1999-01-11","1999-01-17","NeoGeoP",2014
"1999-01-18","1999-01-24","PKS",64340
"1999-01-18","1999-01-24","PS",45308
"1999-01-18","1999-01-24","GB",58827
"1999-01-18","1999-01-24","DC",22788
"1999-01-18","1999-01-24","N64",14547
"1999-01-18","1999-01-24","NeoGeoP",1275
"1999-01-25","1999-01-31","PS",56471
"1999-01-25","1999-01-31","DC",37249
"1999-01-25","1999-01-31","GB",46854
"1999-01-25","1999-01-31","PKS",21776
"1999-01-25","1999-01-31","N64",15189
"1999-01-25","1999-01-31","NeoGeoP",874
"1999-02-01","1999-02-07","PS",60266
"1999-02-01","1999-02-07","PKS",29533
"1999-02-01","1999-02-07","GB",38348
"1999-02-01","1999-02-07","DC",20327
