,Switch,PS5,PS4,WiiU,3DS,DC,DS,GBA,GC,NeoGeoP,PS2,PS3,PSP,WS,Vita,Wii,XB360,XBOne,XSX,Xbox,PKS
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,,,322083.0,,371326.0,,,,,,630552.0,88443.0,,,321407.0,371936.0,62135.0,,,,64340.0
2.0,330637.0,,,,,101490.0,,,133719.0,,,,,,,,,,,,
3.0,,118085.0,,,,,441485.0,,,,,,,102655.0,,,,23562.0,,,
4.0,,,,,,,,611504.0,,21471.0,,,,,,,,,,,
5.0,,,,,,,,,,,,,,,,,,,20534.0,,
7.0,,,,,,,,,,,,,,,,,,,,,
8.0,,,374780.0,,577413.0,,,,,,784797.0,131821.0,,,402794.0,481004.0,74455.0,,,,86116.0
9.0,394057.0,,,,,133066.0,,,162928.0,,,,,,,,,,,,
10.0,,160976.0,,,,,622716.0,,,,,,,154012.0,,,,27136.0,,,
11.0,,,,,,,,935190.0,,26159.0,,,,,,,,,,,
12.0,,,,,,,,,,,,,,,,,,,24218.0,,
14.0,,,,,,,,,,,,,,,,,,,,,
15.0,,,405546.0,,681825.0,,,,,,856577.0,169082.0,,,442900.0,582960.0,84490.0,,,,115649.0
16.0,444878.0,,,,,161061.0,,,184265.0,,,,,,,,,,,,
17.0,,201435.0,,,,,843011.0,,,,,,,177204.0,,,,28672.0,,,
18.0,,,,,,,,1132611.0,,29324.0,,,,,,,,,,,
19.0,,,,,,,,,,,,,,,,,,,27811.0,,
21.0,,,,308570.0,,,,,,,,,,,,,,,,,
22.0,,,434410.0,,746767.0,,,,,,969197.0,199549.0,,,483006.0,786039.0,94525.0,,,,134866.0
23.0,524371.0,,,,,203085.0,,,198567.0,,,,,,,,,,,,
24.0,,213328.0,,,,,1056428.0,,,,,,,209072.0,,,,30411.0,,,
25.0,,,,,,,,1272110.0,,31041.0,,,,,,,,,,,
26.0,,,,,,,,,,,,,,,,,,,29433.0,,
