end_date,3DS,DC,DS,GBA,GC,NeoGeoP,Switch,PS2,PS3,PS4,PS5,PSP,WS,Vita,Wii,WiiU,XB360,XBOne,XSX,Xbox,PKS
1998-10-18,,,,,,,,,,,,,,,,,,,,,
1998-10-25,,,,,,,,,,,,,,,,,,,,,
1998-11-01,,,,,,21471.0,,,,,,,,,,,,,,,
1998-11-08,,,,,,26159.0,,,,,,,,,,,,,,,
1998-11-15,,,,,,29324.0,,,,,,,,,,,,,,,
1998-11-22,,,,,,31041.0,,,,,,,,,,,,,,,
1998-11-29,,101490.0,,,,32963.0,,,,,,,,,,,,,,,
1998-12-06,,133066.0,,,,34608.0,,,,,,,,,,,,,,,
1998-12-13,,161061.0,,,,36715.0,,,,,,,,,,,,,,,
1998-12-20,,203085.0,,,,38502.0,,,,,,,,,,,,,,,
1998-12-27,,270095.0,,,,40638.0,,,,,,,,,,,,,,,
1999-01-03,,337105.0,,,,42774.0,,,,,,,,,,,,,,,
1999-01-10,,365935.0,,,,44905.0,,,,,,,,,,,,,,,
1999-01-17,,393374.0,,,,46919.0,,,,,,,,,,,,,,,
1999-01-24,,416162.0,,,,48194.0,,,,,,,,,,,,,,,64340.0
1999-01-31,,453411.0,,,,49068.0,,,,,,,,,,,,,,,86116.0
1999-02-07,,473738.0,,,,49947.0,,,,,,,,,,,,,,,115649.0
1999-02-14,,488898.0,,,,50535.0,,,,,,,,,,,,,,,134866.0
1999-02-28,,511695.0,,,,51299.0,,,,,,,,,,,,,,,239683.0
1999-03-07,,525057.0,,,,51888.0,,,,,,,102655.0,,,,,,,,290301.0
1999-03-14,,534289.0,,,,52182.0,,,,,,,154012.0,,,,,,,,347687.0
1999-03-21,,543241.0,,,,70991.0,,,,,,,177204.0,,,,,,,,400118.0
1999-03-28,,559898.0,,,,77865.0,,,,,,,209072.0,,,,,,,,441466.0
1999-04-04,,574573.0,,,,82329.0,,,,,,,233936.0,,,,,,,,475856.0
1999-04-11,,587921.0,,,,85286.0,,,,,,,249535.0,,,,,,,,522561.0
1999-04-18,,594668.0,,,,89664.0,,,,,,,259589.0,,,,,,,,589622.0
1999-04-25,,602109.0,,,,93388.0,,,,,,,280543.0,,,,,,,,641045.0
1999-05-02,,609550.0,,,,97112.0,,,,,,,301497.0,,,,,,,,692468.0
1999-05-09,,616942.0,,,,101522.0,,,,,,,320353.0,,,,,,,,707604.0
1999-05-16,,621400.0,,,,103875.0,,,,,,,331093.0,,,,,,,,738330.0
1999-05-23,,624744.0,,,,105527.0,,,,,,,342950.0,,,,,,,,768326.0
1999-05-30,,629487.0,,,,107726.0,,,,,,,355930.0,,,,,,,,797745.0
1999-06-06,,632054.0,,,,109489.0,,,,,,,370982.0,,,,,,,,823122.0
1999-06-13,,632730.0,,,,110936.0,,,,,,,382035.0,,,,,,,,850466.0
1999-06-20,,633209.0,,,,112889.0,,,,,,,390924.0,,,,,,,,882299.0
1999-06-27,,678267.0,,,,115097.0,,,,,,,398293.0,,,,,,,,912376.0
1999-07-04,,703516.0,,,,116417.0,,,,,,,408247.0,,,,,,,,949963.0
1999-07-11,,724257.0,,,,117874.0,,,,,,,418190.0,,,,,,,,976982.0
1999-07-18,,742196.0,,,,119455.0,,,,,,,425074.0,,,,,,,,1025364.0
1999-07-25,,758727.0,,,,121146.0,,,,,,,440987.0,,,,,,,,1127519.0
1999-08-01,,778687.0,,,,122680.0,,,,,,,456152.0,,,,,,,,1224822.0
1999-08-08,,817741.0,,,,124210.0,,,,,,,480343.0,,,,,,,,1318258.0
1999-08-15,,856795.0,,,,125740.0,,,,,,,504534.0,,,,,,,,1411694.0
1999-08-22,,879739.0,,,,127479.0,,,,,,,521919.0,,,,,,,,1506195.0
1999-08-29,,907391.0,,,,128730.0,,,,,,,534625.0,,,,,,,,1586314.0
1999-09-05,,933844.0,,,,129946.0,,,,,,,545584.0,,,,,,,,1666232.0
1999-09-19,,949128.0,,,,130617.0,,,,,,,553348.0,,,,,,,,1740467.0
1999-09-26,,965697.0,,,,131143.0,,,,,,,559398.0,,,,,,,,1818278.0
1999-10-03,,998051.0,,,,131317.0,,,,,,,564452.0,,,,,,,,1899796.0
