end_date,3DS,DC,DS,GB,GBA,GC,N64,NeoGeoP,Switch,PS,PS2,PS3,PS4,PS5,PSP,WS,SATURN,Vita,Wii,WiiU,XB360,XBOne,XSX,Xbox,PKS
1998-10-18,,,,10867.0,,,2965.0,,,20918.0,,,,,,,858.0,,,,,,,,
1998-10-25,,,,163017.0,,,3813.0,,,21151.0,,,,,,,1061.0,,,,,,,,
1998-11-01,,,,71679.0,,,3787.0,21471.0,,20128.0,,,,,,,1027.0,,,,,,,,
1998-11-08,,,,52586.0,,,4962.0,4688.0,,27171.0,,,,,,,824.0,,,,,,,,
1998-11-15,,,,37727.0,,,4972.0,3165.0,,23575.0,,,,,,,1144.0,,,,,,,,
1998-11-22,,,,58865.0,,,35419.0,1717.0,,17374.0,,,,,,,528.0,,,,,,,,
1998-11-29,,101490.0,,67224.0,,,29835.0,1922.0,,27060.0,,,,,,,,,,,,,,,
1998-12-06,,31576.0,,58727.0,,,23859.0,1645.0,,31103.0,,,,,,,,,,,,,,,
1998-12-13,,27995.0,,116901.0,,,74002.0,2107.0,,81548.0,,,,,,,,,,,,,,,
1998-12-20,,42024.0,,214899.0,,,115411.0,1787.0,,82128.0,,,,,,,,,,,,,,,
1998-12-27,,67010.0,,206372.0,,,96522.0,2136.0,,138185.0,,,,,,,,,,,,,,,
1999-01-03,,67010.0,,206372.0,,,96522.0,2136.0,,138185.0,,,,,,,,,,,,,,,
1999-01-10,,28830.0,,136137.0,,,40364.0,2131.0,,74563.0,,,,,,,,,,,,,,,
1999-01-17,,27439.0,,64928.0,,,17914.0,2014.0,,45083.0,,,,,,,,,,,,,,,
1999-01-24,,22788.0,,58827.0,,,14547.0,1275.0,,45308.0,,,,,,,,,,,,,,,64340.0
1999-01-31,,37249.0,,46854.0,,,15189.0,874.0,,56471.0,,,,,,,,,,,,,,,21776.0
1999-02-07,,20327.0,,38348.0,,,11902.0,879.0,,60266.0,,,,,,,,,,,,,,,29533.0
1999-02-14,,15160.0,,39090.0,,,12341.0,588.0,,74300.0,,,,,,,,,,,,,,,19217.0
1999-02-28,,22797.0,,52390.0,,,19109.0,764.0,,105677.0,,,,,,,,,,,,,,,104817.0
