"号","ハード売上","ソフトTOP1","クロレビ高得点","その他"
"701","PS 5548|PS2 65907|Xbox 3286|GC 7603|GBC 1803|GBA 31936|WSC 1691","『熱チュー！プロ野球2002』|PS2、ナムコ、2002/4/18、6800円、75931本（初）|（2002/4/15〜4/21）","『ファイナルファンタジーXI』|PS2、スクウェア、38点(10/9/10/9)","●―"
"702","PS 8840|PS2 148320|Xbox 8438|GC 21512|GBC 4781|GBA 105407|WSC 4144|（2週分）","『ワールドサッカーウイニングイレブン6』|PS2、コナミ、2002/4/25、6800円、514486本（初）|（2002/4/22〜5/5）","『ドラマティックサッカーゲーム　日本代表選手になろう！』|PS2、エニックス、32点(9/8/7/8)","●―"
"703","PS 3036|PS2 61979|Xbox 1872|GC 10641|GBC 1869|GBA 35299|WSC 1122","『ワールドサッカーウイニングイレブン6』|PS2、コナミ、2002/4/25、6800円、60370本（574856）|（2002/5/6〜5/12）","『プロジェクトFIFAワールドカップ　それなら君が代表監督』|PS2、エレクトロニックアーツ・スクウェア、32点(9/9/7/7)","●―"
"704","PS 5441|PS2 67174|Xbox 834|GC 5862|GBC 2176|GBA 30917|WSC 1391","『ファイナルファンタジーXI』|PS2、スクウェア、2002/5/16、7800円、63958本（初）|（2002/5/13〜5/19）","『キャッスルヴァニア〜白夜の協奏曲〜』|GBA、コナミ、31点(8/8/7/8)","●―"
"705","PS 6680|PS2 55764|Xbox 6447|GC 3502|GBC 2718|GBA 29358|WSC 1008","『ワールドサッカーウイニングイレブン6』|PS2、コナミ、2002/4/25、6800円、50578本（684906）|（2002/5/20〜5/26）","『ファミリーテニスアドバンス』|GBA、ナムコ、29点(7/7/7/8)","●―"
"706","PS 3729|PS2 56772|Xbox 5912|GC 4118|GBC 1567|GBA 35097|WSC 2024","『ドラゴンクエストモンスターズ1・2　星降りの勇者と牧場の仲間たち』|PS、エニックス、2002/5/30、6800円、132479本（初）|（2002/5/27〜6/2）","『ドラゴンクエストモンスターズ1・2　星降りの勇者と牧場の仲間たち』|PS、エニックス、33点(9/8/8/8)","●―"
"707","PS 4041|PS2 43999|Xbox 2836|GC 13229|GBC 1086|GBA 33123|WSC 2161","『シャーマンキング　スプリットオブシャーマンズ』|PS、バンダイ、2002/6/6、5800円、72996本（初）|（2002/6/3〜6/9）","『黄金の太陽〜失われし時代〜』|GBA、任天堂、33点(9/8/9/7)","●―"
"708","PS 5903|PS2 47767|Xbox 4359|GC 9302|GBC 1500|GBA 33186|WSC 2200","『ワールドサッカーウイニングイレブン6』|PS2、コナミ、2002/4/25、6800円、66129本（864959）|（2002/6/10〜6/16）","『ゴーストヴァイブレーション』|PS2、アイドスインタラクティブ、31点(8/7/8/8)|『CAPCOM VS. SNK 2 MILLIONAIRE FIGHTING 2001 EO』|GC、カプコン、31点(8/7/8/8)|『ザ・ピンボール・オブ・ザ・デッド』|GBA、セガ、31点(8/8/7/8)","●―"
"709","PS 4373|PS2 44751|Xbox 3358|GC 6580|GBC 1697|GBA 31286|WSC 1080","『.hack// 感染拡大Vol.1』|PS2、バンダイ、2002/6/20、5800円、99346本（初）|（2002/6/17〜6/23）","『ぼくのなつやすみ2　海の冒険篇』|PS2、SCE、33点(8/9/7/9)","●―"
"710","PS 5854|PS2 68124|Xbox 3218|GC 8004|GBC 813|GBA 33787|WSC 2060","『黄金の太陽〜失われし時代〜』|GBA、任天堂、2002/6/28、4800円、96318本（初）|（2002/6/24〜6/30）","『かまいたちの夜2〜監獄島のわらべ唄〜』|PS2、チュンソフト、36点(9/9/9/9)","●―"
"711","PS 4483|PS2 52757|Xbox 3111|GC 9301|GBC 856|GBA 38955|WSC 1368","『遊戯王デュエルモンスターズ7　決闘都市伝説』|GBA、コナミ、2002/7/4、4800円、128343本（初）|（2002/7/1〜7/7）","『RS〜ライディングスピリッツ〜』|PS2、スパイク、33点(8/9/8/8)","●―"
"712","PS 2698|PS2 54009|Xbox 3218|GC 8242|GBC 917|GBA 31502|WSC 2372|SC 30692","『幻想水滸伝III』|PS2、コナミ、2002/7/11、6800円、191070本（初）|（2002/7/8〜7/14）","『スーパーマリオサンシャイン』|GC、任天堂、37点(9/9/9/10)","●スワンクリスタル発売"
"713","PS 5504|PS2 98982|Xbox 2958|GC 31750|GBC 1186|GBA 56537|WSC 2014|SC 15305","『スーパーマリオサンシャイン』|GC、任天堂、2002/7/19、6800円、280610本（初）|（2002/7/15〜7/21）","『風のクロノアG2　ドリームチャンプ・トーナメント』|GBA、ナムコ、33点(8/8/8/9)","●―"
"715|※","PS 3630|PS2 87644|Xbox 6047|GC 14258|GBC 950|GBA 49128|WSC 1171|SC 7468","『スーパーマリオサンシャイン』|GC、任天堂、2002/7/19、6800円、102576本（383186）|（2002/7/22〜7/28）","『ミスタードリラーエース　ふしぎなバクテリア』|GBA、ナムコ、32点(8/8/8/8)","●―"
"716","PS 4438|PS2 79840|Xbox 3826|GC 12109|GBC 1652|GBA 49585|WSC 1457|SC 6362","『機動戦士ガンダム戦記』|PS2、バンダイ、2002/8/1、6800円、189319本（初）|（2002/7/29〜8/4）","『真・三國無双2　猛将伝』|PS2、コーエー、33点(9/8/8/8)","●―"
"717","PS 8584|PS2 150857|Xbox 6271|GC 25721|GBC 4007|GBA 103293|WSC 3361|SC 11557|（2週分）","『機動戦士ガンダム戦記』|PS2、バンダイ、2002/8/1、6800円、105698本（295017）|（2002/8/5〜8/18）","『斑鳩　IKARUGA』|DC、トレジャー、36点(8/8/10/10)","●―"
"718","PS 4907|PS2 57689|Xbox 3040|GC 12337|GBC 993|GBA 37692|WSC 1246|SC 4408","『アウトモデリスタ』|PS2、カプコン、2002/8/22、6800円、69602本（初）|（2002/8/19〜8/25）","『segaGT2002』|Xbox、セガ、35点(9/8/9/9)|『鉄騎』|Xbox、カプコン、35点(9/8/9/9)|『ファンタシースターオンライン　エピソード1＆2』|GC、セガ、35点(9/8/9/9)","●―"
"719","PS 3155|PS2 63350|Xbox 3287|GC 14473|GBC 1232|GBA 37974|WSC 2090|SC 5013","『真・三國無双2　猛将伝』|PS2、コーエー、2002/8/29、3980円、284789本（初）|（2002/8/26〜9/1）","『Jリーグウイニングイレブン6』|PS2、コナミ、34点(9/8/8/9)","●―"
"720","PS 2197|PS2 44398|Xbox 2130|GC 13362|GBC 880|GBA 31128|WSC 678|SC 3330","『真・三國無双2　猛将伝』|PS2、コーエー、2002/8/29、3980円、140053本（初）|（2002/9/2〜9/8）","『スターフォックスアドベンチャー』|GC、任天堂、32点(9/8/8/7)","●―"
"721","PS 2575|PS2 44766|Xbox 4002|GC 19273|GBC 958|GBA 29787|WSC 1292|SC 2702","『ファンタシースターオンライン　エピソード1＆2』|GC、セガ、2002/9/12、6800円、71241本（初）|（2002/9/9〜9/15）","『カルドセプトセカンド　エキスパンション』|PS2、セガ、35点(9/9/8/9)","●―"
"722","PS 2678|PS2 43666|Xbox 2473|GC 12784|GBC 875|GBA 36066|WSC 690|SC 2158","『.hack//悪性変異 Vol.2』|PS2、バンダイ、2002/9/19、5800円、121484本（初）|（2002/9/16〜9/22）","『ジョッキーズロード』|Xbox、マイクロソフト、31点(9/8/6/8)","●―"
"723","PS 4103|PS2 43675|Xbox 2125|GC 15240|GBC 529|GBA 61365|WS 4053","『スターフォックスアドベンチャー』|GC、任天堂、2002/9/27、6800円、133871本（初）|（2002/9/23〜9/29）","『逆転裁判2』|GBA、カプコン、35点(8/9/10/8)","●ワンダースワンの販売台数はスワンクリスタルを含む数字"
"724","PS 2946|PS2 39250|Xbox 2103|GC 13087|GBC 891|GBA 50571|WS 3534","『スターフォックスアドベンチャー』|GC、任天堂、2002/9/27、6800円、40914本（174785）|（2002/9/30〜10/6）","『星のカービィ　夢の泉デラックス』|GBA、任天堂、35点(9/9/9/8)","●―"
"725","PS 1466|PS2 33271|Xbox 2973|GC 11509|GBC 663|GBA 38252|WS 2453","『SIMPLEキャラクター2000シリーズVol.13　新機動戦記ガンダムW　THEバトル』|PS、バンダイ、2002/10/10、2000円、40193本（初）|（2002/10/7〜10/13）","『ドラゴンクエスト・キャラクターズ　トルネコの大冒険3〜不思議のダンジョン〜』|PS2、エニックス、35点(9/8/8/10)","●―"
"726","PS 2026|PS2 30427|Xbox 2662|GC 10287|GBC 634|GBA 40187|WS 2615","『逆転裁判2』|GBA、カプコン、2002/10/18、4800円、51859本（初）|（2002/10/14〜10/20）","『テクニクビート』|PS2、アリカ、32点(8/9/7/8)","●―"
"727","PS 2725|PS2 34602|Xbox 2450|GC 9805|GBC 858|GBA 51337|WS 2264","『星のカービィ　夢の泉デラックス』|GBA、任天堂、2002/10/25、4800円、189843本（初）|（2002/10/21〜10/27）","『ブレスオブファイアV　ドラゴンクォーター』|PS2、カプコン、32点(9/8/8/7)|『超・バトル封神』|PS2、コーエー、32点(8/8/8/8)","●―"
"728","PS 2467|PS2 38228|Xbox 2655|GC 15697|GBC 478|GBA 49610|WS 1970","『ドラゴンクエスト・キャラクターズ　トルネコの大冒険3〜不思議のダンジョン〜』|PS2、エニックス、2002/10/31、6800円、303058本（初）|（2002/10/28〜11/3）","『バイオハザード0』|GC、カプコン、38点(10/9/9/10)","●―"
"729","PS 1929|PS2 33354|Xbox 1793|GC 17191|GBC 805|GBA 58513|WS 2145","『マリオパーティ4』|GC、任天堂、2002/11/8、6800円、177605本（初）|（2002/11/4〜11/10）","『ダーククロニクル』|PS2、SCE、35点(8/9/9/9)","●―"
"730","PS 2098|PS2 30860|Xbox 1362|GC 15965|GBC 574|GBA 53271|WS 2198","『ブレスオブファイアV　ドラゴンクォーター』|PS2、カプコン、2002/11/14、6800円、88107本（初）|（2002/11/11〜11/17）","『ラチェット＆クランク』|PS2、SCE、34点(8/8/9/9)|『桃太郎電鉄11　ブラックボンビー出現！の巻』|PS2、ハドソン、34点(9/8/8/9)|『桃太郎電鉄11　ブラックボンビー出現！の巻』|GC、ハドソン、34点(9/8/8/9)|『ロックマンエグゼ3』|GBA、カプコン、34点(9/9/8/8)","●スクウェアとエニックスが合併を発表"
"731","PS 2454|PS2 34668|Xbox 2621|GC 32099|GBC 771|GBA 147898|WS 1750","『ポケットモンスタールビー・サファイア』|GBA、ポケモン、2002/11/21、各4800円、1245003本（初）|（2002/11/18〜11/24）","『ワールドサッカーウイニングイレブン6　ファイナルエヴォリューション』|PS2、コナミ、36点(9/9/8/10)","●―"
"732","PS 2883|PS2 56393|Xbox 2419|GC 30341|GBC 1077|GBA 120311|WS 1771","『テイルズオブデスティニー2』|PS2、ナムコ、2002/11/28、6800円、498142本（初）|（2002/11/25〜12/1）","『ゼルダの伝説　風のタクト』|GC、任天堂、40点(10/10/10/10)","●―"
"733","PS 3150|PS2 78970|Xbox 6071|GC 39849|GBC 1182|GBA 135273|WS 1983","『ポケットモンスタールビー・サファイア』|GBA、ポケモン、2002/11/21、各4800円、321408本（2037949）|（2002/12/2〜12/8）","『NFL 2K3』|PS2、セガ、33点(8/8/8/9)","●今号から売上TOP30に「最高順位」と「登場回数」が掲載"
"735|※","PS 4544|PS2 109747|Xbox 8261|GC 44902|GBC 1636|GBA 197084|WS 5229","『ポケットモンスタールビー・サファイア』|GBA、ポケモン、2002/11/21、各4800円、336847本（2374796）|（2002/12/9〜12/15）","『ことばのパズルもじぴったんアドバンス』|GBA、ナムコ、33点(8/9/8/8)","●―"
"736","PS 7993|PS2 157759|Xbox 8176|GC 66410|GBC 1932|GBA 303834|WS 4518","『ポケットモンスタールビー・サファイア』|GBA、ポケモン、2002/11/21、各4800円、437352本（2812148）|（2002/12/16〜12/22）","『斑鳩　IKARUGA』|GC、アタリ、36点(8/8/10/10)","●―"
"737","PS 10990|PS2 346591|Xbox 14356|GC 132235|GBC 5575|GBA 579178|WS 13125|（2週分）","『ポケットモンスタールビー・サファイア』|GBA、ポケモン、2002/11/21、各4800円、794445本（3606593）|（2002/12/23〜2003/1/5）","『パワプロクンポケット5』|GBA、コナミ、33点(9/8/8/8)","●―"
"738","PS 3684|PS2 89428|Xbox 2986|GC 13526|GBC 954|GBA 85227|WS 2609","『ポケットモンスタールビー・サファイア』|GBA、ポケモン、2002/11/21、各4800円、126398本（3732991）|（2003/1/6〜1/12）","『オペレーターズサイド』|PS2、SCE、37点(10/9/9/9)","●―"
"739","PS 3581|PS2 68252|Xbox 5605|GC 11142|GBC 524|GBA 59201|WS 1645","『ポケットモンスタールビー・サファイア』|GBA、ポケモン、2002/11/21、各4800円、105173本（3838164）|（2003/1/13〜1/19）","『フェイタルフレーム-零　スペシャルエディション-』|Xbox、テクモ、34点(9/8/8/9)","●―"
"740","PS 2254|PS2 64148|Xbox 8862|GC 9341|GBC 491|GBA 33365|WS 1983","『アーマード・コア3　サイレントライン』|PS2、フロム・ソフトウェア、2003/1/23、6800円、103229本（初）|（2003/1/20〜1/26）","『オペレーターズサイド』|PS2、SCE、37点(10/9/9/9)","●―"
"741","PS 1663|PS2 56878|Xbox 5184|GC 8177|GBC 575|GBA 30029|WS 1741","『デビルメイクライ2』|PS2、カプコン、2003/1/30、7800円、309279本（初）|（2003/1/27〜2/2）","『真・女神転生III-ノクターン-』|PS2、アトラス、35点(9/8/9/9)","●―"
"742","PS 2192|PS2 46918|Xbox 3101|GC 7653|GBC 446|GBA 25640|WS 1630","『デビルメイクライ2』|PS2、カプコン、2003/1/30、7800円、54930本（364209）|（2003/2/3〜2/9）","『真・三國無双3』|PS2、コーエー、36点(9/9/9/9)","●―"
"743","PS 1329|PS2 62409|Xbox 3012|GC 7607|GBC 453|GBA 32422|GBASP 117859|WS 1792","『ドラゴンボールZ』|PS2、バンダイ、2003/2/13、6800円、336389本（初）|（2003/2/10〜2/16）","『スターオーシャン3　Till the End of Time』|PS2、エニックス、32点(9/8/7/8)","●GBASP発売"
"744","PS 1161|PS2 49450|Xbox 2165|GC 6177|GBC 356|GBA 25292|GBASP 83983|WS 999","『真・女神転生III-ノクターン-』|PS2、アトラス、2003/2/20、7800円、151203本（初）|（2003/2/17〜2/23）","『バーチャファイター4エボリューション』|PS2、セガ、37点(9/9/9/10)","●―"
"745","PS 1673|PS2 52738|Xbox 1657|GC 6879|GBC 391|GBA 24901|GBASP 63072|WS 1057","『真・三國無双3』|PS2、コーエー、2003/2/27、6800円、723127本（初）|（2003/2/24〜3/2）","『メイドインワリオ』|GBA、任天堂、35点(8/8/9/10)","●―"
"746","PS 2088|PS2 53931|Xbox 1983|GC 7097|GBC 160|GBA 20871|GBASP 42047|WS 1201","『真・三國無双3』|PS2、コーエー、2003/2/27、6800円、148739本（871866）|（2003/3/3〜3/9）","『ソウルキャリバーII』|PS2、ナムコ、34点(9/9/8/8)|『ソウルキャリバーII』|Xbox、ナムコ、34点(9/9/8/8)|『ソウルキャリバーII』|GC、ナムコ、34点(9/9/8/8)","●―"
