"begin_date","end_date","ニンテンドー3DS","プレイステーションVita","WiiU","プレイステーション4","XboxOne"
"2015-12-28","2016-01-04",122844,78611,55798,70596,379
"2016-01-04","2016-01-11",51144,32457,25995,38286,145
"2016-01-11","2016-01-18",31352,19812,14533,26658,136
"2016-01-18","2016-01-25",29966,15462,9086,24825,115
"2016-01-25","2016-02-01",24897,43530,7369,32819,112
"2016-02-01","2016-02-08",19755,24779,3351,32181,367
"2016-02-08","2016-02-15",21143,17474,3155,25015,126
"2016-02-15","2016-02-22",18616,22175,4186,27130,93
"2016-02-22","2016-02-29",20012,18643,4013,25541,73
"2016-02-29","2016-03-07",21259,29269,5991,27318,205
"2016-03-07","2016-03-14",20522,19762,3836,27638,131
"2016-03-14","2016-03-21",20349,19580,9644,27354,75
"2016-03-21","2016-03-28",25311,20383,5034,35565,110
"2016-03-28","2016-04-04",25520,17741,2678,33440,87
"2016-04-04","2016-04-11",21221,12860,5229,23095,144
"2016-04-11","2016-04-18",18333,11782,5634,20652,153
"2016-04-18","2016-04-25",15086,11233,7195,20070,82
"2016-04-25","2016-05-02",22395,17661,10116,27903,90
"2016-05-02","2016-05-09",23607,16822,7961,24786,76
"2016-05-09","2016-05-16",14434,10855,3296,22109,138
"2016-05-16","2016-05-23",13264,10082,3659,18291,60
"2016-05-23","2016-05-30",13736,14605,3872,24201,65
"2016-05-30","2016-06-06",13139,13050,4207,22182,52
"2016-06-06","2016-06-13",21621,11574,3505,18722,46
"2016-06-13","2016-06-20",18365,11415,4430,18997,40
"2016-06-20","2016-06-27",20016,11391,4442,21475,72
"2016-06-27","2016-07-04",18853,11258,5363,24757,63
"2016-07-04","2016-07-11",18446,10950,14904,21474,75
"2016-07-11","2016-07-18",24009,11610,7605,21017,82
"2016-07-18","2016-07-25",23539,10676,5899,17857,55
"2016-07-25","2016-08-01",25259,11340,6048,21030,39
"2016-08-01","2016-08-08",27551,10015,5170,16383,43
"2016-08-08","2016-08-15",31695,12407,5770,17482,38
"2016-08-15","2016-08-22",26735,11086,5623,19053,40
"2016-08-22","2016-08-29",20788,9458,4157,6760,31
"2016-08-29","2016-09-05",20813,10021,4072,2302,126
"2016-09-05","2016-09-12",19783,9397,3267,364,154
"2016-09-12","2016-09-19",36737,9083,2824,96567,157
"2016-09-19","2016-09-26",34877,8525,2681,48443,162
"2016-09-26","2016-10-03",27198,8151,2071,38063,160
"2016-10-03","2016-10-10",34119,7976,2561,32525,102
"2016-10-10","2016-10-17",30315,7881,2558,29447,899
"2016-10-17","2016-10-24",26015,7514,2130,26719,215
"2016-10-24","2016-10-31",25763,9879,2172,32169,130
"2016-10-31","2016-11-07",28902,9012,2293,32484,210
"2016-11-07","2016-11-14",29981,8637,2467,93512,125
"2016-11-14","2016-11-21",113987,7985,2973,37383,85
"2016-11-21","2016-11-28",68887,10584,3414,40636,1020
"2016-11-28","2016-12-05",62267,14853,4713,116593,315
"2016-12-05","2016-12-12",82663,17996,4240,98684,363
"2016-12-12","2016-12-19",117793,26955,4544,75061,279
"2016-12-19","2016-12-26",229575,58745,8417,107269,757
