"begin_date","end_date","ニンテンドー3DS","プレイステーションVita","NINTENDOSWITCH","プレイステーション4","XboxOne"
"2018-12-31","2019-01-07",28969,3577,225698,132566,257
"2019-01-07","2019-01-14",5493,1701,83136,17188,180
"2019-01-14","2019-01-21",4939,1853,71672,19365,166
"2019-01-21","2019-01-28",4654,1787,51556,51704,130
"2019-01-28","2019-02-04",4134,1231,66448,27832,96
"2019-02-04","2019-02-11",3972,1504,61042,19981,270
"2019-02-11","2019-02-18",3890,1475,64313,21571,68
"2019-02-18","2019-02-25",3555,3554,49139,18372,55
"2019-02-25","2019-03-04",6084,4733,66453,22402,99
"2019-03-04","2019-03-11",4276,6403,67624,29949,65
"2019-03-11","2019-03-18",4659,1706,55478,29948,195
"2019-03-18","2019-03-25",6819,821,56812,29746,96
"2019-03-25","2019-04-01",5056,717,49852,23863,92
"2019-04-01","2019-04-08",4388,482,46850,13854,93
"2019-04-08","2019-04-15",3340,575,54101,11793,66
"2019-04-15","2019-04-22",3232,571,40338,11363,83
"2019-04-22","2019-04-29",4580,536,42108,14167,155
"2019-04-29","2019-05-13",10351,1088,83471,30003,382
"2019-05-13","2019-05-20",2529,290,32564,9560,112
"2019-05-20","2019-05-27",2595,314,25936,9642,92
"2019-05-27","2019-06-03",2255,251,33154,8982,91
"2019-06-03","2019-06-10",2732,157,33590,30108,137
"2019-06-10","2019-06-17",2768,139,34321,28762,341
"2019-06-17","2019-06-24",2362,128,29058,15711,313
"2019-06-24","2019-07-01",2713,115,59184,18773,178
"2019-07-01","2019-07-08",2550,206,75481,11303,121
"2019-07-08","2019-07-15",2361,179,55823,10941,50
"2019-07-15","2019-07-22",2517,315,45596,13484,121
"2019-07-22","2019-07-29",2667,243,42689,11182,51
"2019-07-29","2019-08-05",2610,115,36613,10054,48
"2019-08-05","2019-08-12",5397,81,41963,15002,44
"2019-08-12","2019-08-19",5544,134,50714,21391,42
"2019-08-19","2019-08-26",2227,67,30072,9746,44
"2019-08-26","2019-09-02",1934,50,90553,10924,57
"2019-09-02","2019-09-09",1518,34,77392,33728,65
"2019-09-09","2019-09-16",1849,42,51619,27437,97
"2019-09-16","2019-09-23",1687,28,239740,24857,513
"2019-09-23","2019-09-30",2384,39,196489,24658,158
"2019-09-30","2019-10-07",1303,32,89137,12388,126
"2019-10-07","2019-10-14",1041,26,56680,7849,78
"2019-10-14","2019-10-21",1110,27,54067,7362,142
"2019-10-21","2019-10-28",1241,23,69438,7422,81
"2019-10-28","2019-11-04",1070,41,119397,8338,75
"2019-11-04","2019-11-11",1774,22,88772,15810,64
"2019-11-11","2019-11-18",1262,20,180136,8094,80
"2019-11-18","2019-11-25",1073,23,179992,7073,110
"2019-11-25","2019-12-02",1580,26,186763,8626,891
"2019-12-02","2019-12-09",4074,45,188501,41401,400
"2019-12-09","2019-12-16",3694,51,236625,11216,522
"2019-12-16","2019-12-23",3316,38,291485,107313,226
"2019-12-23","2019-12-30",3045,53,234268,81349,297
"2019-12-30","2020-01-06",10,"","","",""
