"begin_date","end_date","ニンテンドー3DS","NINTENDOSWITCH","プレイステーション4","プレイステーション5","XboxSeriesX/S"
"2020-12-28","2021-01-04",963,312121,17876,10632,134
"2021-01-04","2021-01-11",551,167596,6820,11164,109
"2021-01-11","2021-01-18",546,170691,3422,7328,160
"2021-01-18","2021-01-25",439,110811,3263,17348,424
"2021-01-25","2021-02-01",588,114170,3873,25948,1099
"2021-02-01","2021-02-08",824,88485,3229,13524,314
"2021-02-08","2021-02-15",797,109615,4407,22890,136
"2021-02-15","2021-02-22",827,74298,2949,25037,230
"2021-02-22","2021-03-01",673,78049,3217,33838,1487
"2021-03-01","2021-03-08",790,89927,3145,22549,566
"2021-03-08","2021-03-15",872,72610,2921,37851,718
"2021-03-15","2021-03-22",814,89104,2578,34657,1929
"2021-03-22","2021-03-29",933,267497,2189,62295,1279
"2021-03-29","2021-04-05",752,135076,1591,20755,159
"2021-04-05","2021-04-12",622,96259,1430,15560,571
"2021-04-12","2021-04-19",498,94057,1660,22095,545
"2021-04-19","2021-04-26",564,105833,818,20157,106
"2021-04-26","2021-05-10",1027,236028,2584,53640,1207
"2021-05-10","2021-05-17",495,95411,1226,14044,1183
"2021-05-17","2021-05-24",376,99118,1298,16264,1176
"2021-05-24","2021-05-31",425,71148,2562,39324,547
"2021-05-31","2021-06-07",341,97208,2725,18330,630
"2021-06-07","2021-06-14",395,78317,1185,19419,2694
"2021-06-14","2021-06-21",481,75077,667,15346,3684
"2021-06-21","2021-06-28",519,72951,2548,23438,4113
"2021-06-28","2021-07-05",732,84494,1159,16354,3470
"2021-07-05","2021-07-12",628,69283,678,14404,1066
"2021-07-12","2021-07-19",584,64107,295,10107,1874
"2021-07-19","2021-07-26",491,69738,1685,18114,4684
"2021-07-26","2021-08-02",358,62865,1209,22641,1802
"2021-08-02","2021-08-09",323,72773,1435,13530,1069
"2021-08-09","2021-08-16",539,89732,1170,9056,1256
"2021-08-16","2021-08-23",522,72527,943,12638,5782
"2021-08-23","2021-08-30",509,63254,2067,20154,5669
"2021-08-30","2021-09-06",746,60942,1431,17075,2605
"2021-09-06","2021-09-13",789,67114,1763,16975,2089
"2021-09-13","2021-09-20",643,40068,747,16084,4376
"2021-09-20","2021-09-27",588,46297,1641,26481,2643
"2021-09-27","2021-10-04",474,40463,933,12822,4135
"2021-10-04","2021-10-11",405,179851,961,15885,3447
"2021-10-11","2021-10-18",373,72944,613,18709,4187
"2021-10-18","2021-10-25",449,108122,462,14280,3889
"2021-10-25","2021-11-01",366,74803,1975,24016,2862
"2021-11-01","2021-11-08",433,90517,709,10120,2593
"2021-11-08","2021-11-15",417,87267,1399,4910,2593
"2021-11-15","2021-11-22",365,167778,188,4307,3422
"2021-11-22","2021-11-29",477,122573,84,8987,633
"2021-11-29","2021-12-06",423,202937,116,1919,558
"2021-12-06","2021-12-13",391,192335,103,1133,805
"2021-12-13","2021-12-20",302,176832,61,8664,2889
"2021-12-20","2021-12-27",101,198054,44,25387,1636
