"begin_date","end_date","NINTENDOSWITCH","Wii","WiiU","Xbox","Xbox360","XboxOne","XboxSeriesX/S","ゲームボーイアドバンス","ニンテンドー3DS","ニンテンドーDS","ニンテンドーゲームキューブ","プレイステーション2","プレイステーション3","プレイステーション4","プレイステーション5","プレイステーションVita","プレイステーション・ポータブル"
"2000-01-01","2000-12-30","","","","","","","","","","","",3748000.0,"","","","",""
"2001-01-01","2001-12-31","","","","","","","",4200000.0,"","",926000.0,3604000.0,"","","","",""
"2002-01-01","2002-12-31","","","",328000.0,"","","",3367000.0,"","",1035000.0,3653000.0,"","","","",""
"2003-01-01","2003-12-31","","","",97000.0,"","","",3613000.0,"","",1040000.0,2813000.0,"","","","",""
"2004-01-01","2004-12-30","","","",35000.0,"","","",2575000.0,"",1096000.0,608000.0,2751000.0,"","","","",340000.0
"2005-01-01","2005-12-31","","","",13000.0,82000.0,"","",1255000.0,"",4003000.0,305000.0,2135000.0,"","","","",2226000.0
"2006-01-01","2006-12-31","",989000.0,"","",209000.0,"","",433000.0,"",8863000.0,90000.0,1548000.0,467000.0,"","","",1947000.0
"2007-01-01","2007-12-31","",3629000.0,"","",258000.0,"","",74000.0,"",7144000.0,6000.0,816000.0,1206000.0,"","","",3023000.0
"2008-01-01","2008-12-30","",2908000.0,"","",318000.0,"","",10000.0,"",4030000.0,"",481000.0,991000.0,"","","",3543000.0
"2009-01-01","2009-12-31","",1975000.0,"","",332000.0,"","","","",4025000.0,"",256000.0,1727000.0,"","","",2308000.0
"2010-01-01","2010-12-31","",1728000.0,"","",209000.0,"","","","",2964000.0,"",92000.0,1559000.0,"","","",2891000.0
"2011-01-01","2011-12-31","",938000.0,"","",114000.0,"","","",4136000.0,711000.0,"",58000.0,1467000.0,"","",403000.0,1960000.0
"2012-01-01","2012-12-30","",493000.0,638000.0,"",67000.0,"","","",5627000.0,29000.0,"",26000.0,1327000.0,"","",674000.0,942000.0
"2013-01-01","2013-12-31","",77000.0,880000.0,"",20000.0,"","","",4932000.0,"","",7000.0,824000.0,"","",1198000.0,429000.0
"2014-01-01","2014-12-31","",9000.0,605000.0,"",9000.0,46000.0,"","",3153000.0,"","","",450000.0,926000.0,"",1148000.0,84000.0
"2015-01-01","2015-12-31","","",820000.0,"","",18000.0,"","",2190000.0,"","","",188000.0,1205000.0,"",959000.0,""
