"begin_date","end_date","ニンテンドー3DS","プレイステーションVita","NINTENDOSWITCH","プレイステーション4","XboxOne"
"2018-01-01","2018-01-08",64986,13119,159636,103607,273
"2018-01-08","2018-01-15",21014,4146,31189,41188,129
"2018-01-15","2018-01-22",14620,4007,38749,44910,440
"2018-01-22","2018-01-29",12572,3367,39473,140432,1603
"2018-01-29","2018-02-05",12551,4228,46517,109286,1086
"2018-02-05","2018-02-12",13066,4177,43522,70172,368
"2018-02-12","2018-02-19",13075,5274,40655,48391,267
"2018-02-19","2018-02-26",12621,5666,41294,36193,428
"2018-02-26","2018-03-05",12513,5890,43801,26843,185
"2018-03-05","2018-03-12",12255,6636,45746,27323,193
"2018-03-12","2018-03-19",11100,4563,47841,19845,142
"2018-03-19","2018-03-26",13011,4494,51563,19175,155
"2018-03-26","2018-04-02",11951,4553,41402,21569,267
"2018-04-02","2018-04-09",10570,3471,36341,13018,125
"2018-04-09","2018-04-16",8909,3113,32427,11837,145
"2018-04-16","2018-04-23",8010,3220,32476,11807,156
"2018-04-23","2018-04-30",8378,5048,35498,24330,236
"2018-04-30","2018-05-07",13322,7977,54534,37356,219
"2018-05-07","2018-05-14",6703,2804,27907,16905,180
"2018-05-14","2018-05-21",6774,2698,30341,15559,184
"2018-05-21","2018-05-28",6588,2721,31673,16361,182
"2018-05-28","2018-06-04",7252,2742,36271,17396,149
"2018-06-04","2018-06-11",7285,3921,36449,26978,103
"2018-06-11","2018-06-18",7321,2983,44824,22570,826
"2018-06-18","2018-06-25",7052,2410,46750,21368,441
"2018-06-25","2018-07-02",7653,2794,50678,19639,220
"2018-07-02","2018-07-09",7522,2788,43648,19041,183
"2018-07-09","2018-07-16",7499,3594,47317,17747,115
"2018-07-16","2018-07-23",10552,3796,53644,18033,385
"2018-07-23","2018-07-30",8413,2653,47446,17572,335
"2018-07-30","2018-08-06",11361,2916,48975,17254,113
"2018-08-06","2018-08-13",10566,2602,50549,19754,125
"2018-08-13","2018-08-20",11232,2982,53536,26811,136
"2018-08-20","2018-08-27",7810,2370,46413,22242,154
"2018-08-27","2018-09-03",7715,2325,41125,17564,144
"2018-09-03","2018-09-10",6888,2327,46206,18974,61
"2018-09-10","2018-09-17",6338,1970,36153,20849,275
"2018-09-17","2018-09-24",6788,2619,36751,17299,125
"2018-09-24","2018-10-01",6651,2760,43197,20520,114
"2018-10-01","2018-10-08",6376,2823,46590,13548,461
"2018-10-08","2018-10-15",6430,2535,44572,25482,310
"2018-10-15","2018-10-22",5373,2803,43863,19867,140
"2018-10-22","2018-10-29",5497,2004,38448,19321,171
"2018-10-29","2018-11-05",5699,1838,40344,17783,223
"2018-11-05","2018-11-12",6041,1668,53385,16216,473
"2018-11-12","2018-11-19",6056,1818,180585,15890,202
"2018-11-19","2018-11-26",8302,1819,113341,29283,684
"2018-11-26","2018-12-03",8804,1730,107450,18801,194
"2018-12-03","2018-12-10",12487,2130,278313,67911,358
"2018-12-10","2018-12-17",17525,2583,285513,82546,489
"2018-12-17","2018-12-24",25568,3595,300661,75178,305
"2018-12-24","2018-12-31",11775,2658,186806,75683,362
